traffic,fire,crime,suicide,virus,env,sexual,health,atmos,cctv,police,firefight,evac,safety
519.63,473,25900,23.2,1175,63204,77,995,28.18,295,23,13,278,2.833333
511.26,206,6293,31.7,277,74396,15,222,26.89,255,10,0,52,3.666667
595.45,120,3683,23.6,377,6871,14,158,26.08,159,8,4,11,3.666667
455.84,338,21797,26.9,1287,437121,51,721,27.35,219,21,13,123,2.833333
482.47,185,3006,33.6,151,73418,16,135,24.67,200,9,6,30,4.166667
453.98,148,3443,33.7,158,335292,9,112,23.79,252,9,6,26,4.166667
357.25,207,9106,28.7,666,173066,15,295,31.29,206,12,7,30,3
410.2,134,5080,36,266,773537,14,154,21.03,252,14,7,32,3.666667
311.1,186,3258,24.9,87,70610,11,230,21.75,75,8,6,24,4.166667
125.49,26,537,17.7,25,58846,0,46,21.33,65,0,5,11,1.666667
437.39,193,5032,32.8,380,40152,14,169,31.625,177,9,7,37,4.166667
312.53,413,17187,22.3,692,36360,53,1003,29.54,324,21,16,215,2.166667
403.07,295,11451,27.6,267,426743,33,323,26.92,100,22,9,83,3.666667
381.2,272,8103,24.4,442,57373,28,364,30.62,150,20,8,94,3.166667
441.39,201,2793,25,94,401300,17,152,22.71,259,16,7,32,4.166667
336.95,134,1997,22.6,76,504910,10,108,23.08,267,12,8,31,3.833333
436.4,182,2199,25.3,162,3553,14,101,27.5,121,13,4,17,4.333333
736.87,147,9355,24.2,76,379477,38,285,19.96,72,27,8,142,3.333333
573.95,244,13056,19.1,185,493090,19,304,17.56,365,19,8,426,3.333333
471.44,256,8336,16.8,390,313677,18,300,17.75,263,17,8,79,3
416.91,197,2913,20.6,93,47157,10,134,20.25,91,11,5,45,3.833333
432.4,137,4165,22,126,94852,15,132,17.91,181,9,4,70,2.5
498.63,291,16210,23,631,5908874,34,603,19.37,0,29,10,118,2.833333
497.53,210,9229,22,401,12527696,26,261,18.47,251,23,4,57,3.666667
404.88,167,3996,30.6,304,2299977,11,124,24.09,155,15,10,44,3.166667
579.84,124,4641,19.6,273,64340,12,179,18.2,340,29,24,74,3.666667
402.15,195,13156,22.5,588,271,35,441,20,218,17,12,177,2.5
402.84,98,2467,30.2,89,599281,9,117,24.5,141,9,10,48,3.166667
683.67,140,3149,28.3,86,1800,14,121,21.67,106,13,3,41,4
554.32,198,2479,23.9,135,149834,9,96,23.8,236,14,5,39,4.166667
477.33,91,1777,22.5,30,0,8,83,22.61,354,9,8,17,3.666667
397.28,165,7296,26.4,1322,35578,27,280,24,147,9,9,46,3
